"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Deventer";770;720;700;680;780;1200;1190;1110;1050;1190;1420;1400;1290;1220;1380;2260;2240;2080;1940;2180;1210;1210;1130;1070;1210;50,9;50,6;48,1;46,1;52,5
"Diemen";760;730;520;530;650;1240;1220;1180;1090;1180;1480;1470;1420;1320;1440;2580;2220;1970;1720;1750;850;970;800;780;880;10,2;12,0;10,4;10,9;12,8
"Dijk en Waard";630;610;580;550;600;1050;1060;980;930;1020;1250;1260;1160;1100;1220;1790;1800;1650;1590;1840;1140;1150;1060;1010;1120;36,5;37,5;35,0;33,9;38,1
"Dinkelland";1040;1080;880;910;1090;1480;1460;1280;1220;1470;1620;1610;1400;1340;1620;2300;2320;2020;1860;2240;1900;1900;1640;1520;1830;19,1;19,2;16,8;15,6;19,0
"Doesburg";700;690;690;670;770;1260;1250;1160;1120;1240;1450;1440;1360;1300;1440;2090;2070;1950;1810;1960;1270;1260;1190;1140;1270;6,3;6,3;5,9;5,7;6,3
"Doetinchem";860;830;790;780;870;1180;1160;1080;1030;1160;1380;1340;1250;1180;1340;2280;2230;2050;1910;2140;1380;1350;1260;1190;1330;33,0;32,6;30,7;29,2;33,3
"Dongen";800;790;760;730;770;1160;1170;1110;1030;1130;1360;1360;1290;1210;1330;2230;2240;2130;1910;2200;1380;1390;1320;1220;1360;14,0;14,5;14,0;13,0;14,6
"Dordrecht";920;910;800;760;840;1230;1230;1130;1080;1230;1460;1450;1340;1260;1440;2270;2270;2110;1940;2160;1150;1160;1060;1000;1130;59,4;60,0;54,7;52,2;59,2
"Drechterland";720;740;730;740;750;1210;1230;1130;1060;1200;1370;1400;1290;1220;1380;2040;2110;1930;1820;2070;1510;1570;1430;1360;1530;11,6;12,1;11,2;10,7;12,1
"Drimmelen";830;850;800;790;850;1190;1200;1120;1050;1210;1360;1370;1280;1210;1400;2050;2060;1910;1790;2050;1450;1480;1380;1310;1480;15,8;16,2;15,3;14,4;16,5
"Dronten";780;770;720;700;760;1180;1180;1100;1030;1160;1340;1320;1240;1160;1320;1830;1880;1750;1690;1890;1330;1330;1240;1180;1320;20,7;21,1;19,9;19,3;22,0
"Druten";780;830;760;770;860;1230;1230;1140;1060;1210;1400;1400;1300;1220;1380;2180;2180;2020;1910;2120;1450;1460;1350;1280;1440;10,7;10,9;10,2;9,8;11,1
"Duiven";200;170;210;200;240;420;410;390;360;420;540;530;500;470;540;1450;1460;1390;1330;1520;570;570;550;520;600;5,7;5,8;5,5;5,2;6,0
"Echt-Susteren";860;860;810;810;900;1350;1360;1270;1160;1320;1570;1570;1460;1340;1500;2230;2200;2050;1900;2150;1630;1620;1510;1410;1580;22,2;22,1;20,6;19,3;21,9
"Edam-Volendam";790;810;740;740;810;1560;1590;1450;1380;1570;1770;1790;1640;1550;1750;2260;2300;2090;1940;2200;1590;1630;1490;1410;1590;22,1;22,8;21,0;20,0;23,0
